refrigerant;sorbent;sorbent-subtype;type;EoS;p_crit;T_crit;omega;kappa_1;beta_0;beta_1;beta_2;beta_3;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in -;in Pa;in K;in -;in -;in -;in -;in -;in -;in K;in K;-;-
R-227ea ;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;2.9250000000E+06;3.7490000000E+02;3.5700000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6830250000E+02;3.1866500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-23;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.8320000000E+06;2.9929000000E+02;2.6300000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3572300000E+02;2.5439650000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
R-32;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;5.7820000000E+06;3.5126000000E+02;2.7690000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5679100000E+02;2.9857100000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Toluene;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;4.1263000000E+06;5.9175000000E+02;2.6570000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.0470000000E+02;5.0298750000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Water;dum_sorb;dum_subtype;refrig;-5.0000000000E+00;2.2064000000E+07;6.4710000000E+02;3.4430000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;3.1413400000E+02;5.5003500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
1-Butene;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.0051000000E+06;4.1929000000E+02;1.9200000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.0097000000E+02;3.5639650000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
2-Propanol;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.9000000000E+06;5.0900000000E+02;6.6687000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1263500000E+02;4.3265000000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Acetone;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.6924000000E+06;5.0810000000E+02;3.0710000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.0527500000E+02;4.3188500000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Ammonia;dum_sorb;dum_subtype;refrig;1.0000000000E+01;1.1363000000E+07;4.0556000000E+02;2.5600000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.2481350000E+02;3.4472600000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Argon;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.8630000000E+06;1.5069000000E+02;-2.1900000000E-03;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.6376900000E+01;1.2808650000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Benzene;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.9073000000E+06;5.6202000000E+02;2.1100000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;3.2047050000E+02;4.7771700000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Butane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.7960000000E+06;4.2513000000E+02;2.0100000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5513500000E+02;3.6136050000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
CarbonDioxide;dum_sorb;dum_subtype;refrig;1.0000000000E+01;7.3773000000E+06;3.0413000000E+02;2.2394000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.4907850000E+02;2.5851050000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Cyclohexane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;4.0805000000E+06;5.5360000000E+02;2.0960000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;3.2183900000E+02;4.7056000000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Ethanol;dum_sorb;dum_subtype;refrig;1.0000000000E+01;6.2680000000E+06;5.1471000000E+02;6.4600000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.8285000000E+02;4.3750350000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
EthyleneGlycol;dum_sorb;dum_subtype;refrig;1.0000000000E+01;1.0509000000E+07;7.1900000000E+02;6.1900000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.9969000000E+02;6.1115000000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Hexane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.0441000000E+06;5.0782000000E+02;3.0000000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.0450450000E+02;4.3164700000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Helium;dum_sorb;dum_subtype;refrig;1.0000000000E+01;2.2832000000E+05;5.1953000000E+00;-3.8360000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.5033200000E+00;4.4160050000E+00;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Isobutane;dum_sorb;dum_subtype;refrig;1.0000000000E+01;3.6290000000E+06;4.0781000000E+02;1.8400000000E-01;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3078950000E+02;3.4663850000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
Krypton;dum_sorb;dum_subtype;refrig;1.0000000000E+01;5.5250000000E+06;2.0948000000E+02;-8.9400000000E-04;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3314700000E+02;1.7805800000E+02;;"Lemmon, E. W.; Bell, I. H.; Huber, M. L.; McLinden, M. O. (2018): NIST Standard Reference Database 23. Reference Fluid Thermodynamic and Transport Properties-REFPROP, Version 10.0, National Institute of Standards and Technology. Online: https://www.nist.gov/srd/refprop."
